number;question;answer_1;answer_2;answer_3;answer_4
69;Wie wird der Frequenzbereich von 30 bis 300 MHz bezeichnet?;Ultrakurzwelle (UKW/VHF);Langwelle (LW/LF);Mittelwelle (MW/MF);Kurzwelle (KW/HF)
70;Welches Funkzeugnis muss der Führer eines Sportfahrzeugs oder Traditionsschiffes, das mit einer UKW-Seefunkstelle ausgerüstet ist, mindestens besitzen, um am GMDSS teilnehmen zu dürfen?;Beschränkt Gültiges Funkbetriebszeugnis (Short Range Certificate);Allgemeines Sprechfunkzeugnis für den Seefunkdienst;UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk;Allgemeines Betriebszeugnis für Funker (General Operator’s Certificate)
71;An welchem Funkdienst darf der Inhaber eines Beschränkt Gültigen Funkbetriebszeugnisses (SRC) teilnehmen?;Mobiler Seefunkdienst auf Ultrakurzwelle (UKW/VHF);Mobiler Seefunkdienst auf Ultrakurzwelle (UKW/VHF) einschließlich Satellitenfunk;Mobiler Seefunkdienst auf Kurzwelle (KW/HF) und Grenzwelle (GW/MF), außer Satellitenfunk;Mobiler Seefunkdienst auf Ultrakurzwelle (UKW/VHF) einschließlich Grenzwelle/Kurzwelle
72;Was kennzeichnet die Betriebsart „Duplex“?;Gegensprechen auf zwei Frequenzen;Wechselsprechen auf einer Frequenz;Gegensprechen auf einer Frequenz;Wechselsprechen auf zwei Frequenzen
73;Was kennzeichnet die Betriebsart „Simplex“?;Wechselsprechen auf einer Frequenz;Gegensprechen auf einer Frequenz;Wechselsprechen auf zwei Frequenzen;Gegensprechen auf zwei Frequenzen
74;Welche Betriebsart wird als „Semi-Duplex“ bezeichnet?;Wechselsprechen auf zwei Frequenzen;Gegensprechen auf zwei Frequenzen;Gegensprechen auf einer Frequenz;Wechselsprechen auf einer Frequenz
75;Welche UKW-Kanäle sind international ausschließlich für den Funkverkehr zwischen Seefunkstellen vorgesehen?;Kanäle 06, 08, 72 und 77;Kanäle 15 und 17;Kanäle 16, 69, 70 und 82;Kanäle 16 und 18, ersatzweise 70
76;Für welchen Funkverkehr dürfen die UKW-Kanäle 75 und 76 benutzt werden?;Funkverkehr, der ausschließlich die Navigation betrifft;Funkverkehr, der ausschließlich See-Land-Verbindungen betrifft;Funkverkehr unter Behördenfahrzeugen;Funkverkehr, der ausschließlich Land-See-Verbindungen betrifft
77;Atmosphärische Störungen des Funkverkehrs sind …;im Seefunkverkehr im VHF-Bereich kein Problem;im Seefunkverkehr im VHF-Bereich ein großes Problem;gleichzeitig im VHF-Bereich und beim NAVTEX-Empfang vorhanden;im VHF-Bereich nur bei Verwendung von nicht vertikal angebrachten Antennen vorhanden
78;Wie breiten sich Ultrakurzwellen (UKW/VHF) aus?;Geradlinig und quasioptisch;Abhängig von der Tageszeit;Der Erdkrümmung folgend bis weit hinter den Horizont;In der Ionosphäre reflektiert
79;Wie werden die internationalen Kanäle im UKW-Seefunkbereich bezeichnet?;Kanal 1 bis 28 und 60 bis 88;Kanal 1 bis 20 und 68 bis 88;Kanal 1 bis 28 und 60 bis 87;Kanal 1 bis 28 und 68 bis 88
80;Wovon hängt die Reichweite einer UKW-Funkanlage hauptsächlich ab?;Antennenhöhe;Bordnetzspannung;Tageszeit;Wetter
81;Wie sollen UKW-Antennen ausgerichtet werden?;Vertikal;Horizontal;Radial;Diagonal
82;Wodurch kann die Abstrahlung der Sendeenergie einer UKW-Anlage auf einem Schiff wesentlich beeinträchtigt werden?;Metallische Gegenstände in der Nähe der Antenne;Schräglage des Schiffs;Metallische Gegenstände in der Nähe des Antennenkabels;Wetter
83;Was hat keinen Einfluss auf die Reichweite eines UKW-Handsprechfunkgerätes?;Schlechtes Wetter;Niedrige Antennenhöhe;Geringer Ladezustand des Akkus;Geringe Sendeleistung
84;Ist das Senden auf UKW in ausländischen Häfen gestattet?;Abhängig von entsprechenden Vorschriften des Landes;Es ist immer gestattet;Nur am Tage, in der Nacht herrscht Funkstille;Außer in Notfällen ist es überall verboten
